0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:30 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:30 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:31 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:31 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:31 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:36 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:36 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:36 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:42 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:18:42 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:21 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:21 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:21 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:42 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:42 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:44 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:44 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:44 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:44 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:45 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:45 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:55 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:19:55 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:11 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:11 +0530] "GET /Major-Project/scripts/audio-to-text.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:11 +0530] "GET /Major-Project/image/documentation.png HTTP/1.1" 200 25680
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:11 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:41 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:41 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:24:41 +0530] "GET /Major-Project/image/audio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:25 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
